input_size_bytes,time_ms
1000001,1.3
100001,1.0
10001,0.9
1010001,1.4
1020001,1.4
1030001,1.4
1040001,1.3
1050001,1.4
1060001,1.5
1070001,1.5
1080001,1.6
1090001,1.7
1100001,1.3
110001,1.0
1110001,1.4
1120001,1.3
1130001,1.5
1140001,1.5
1150001,1.5
1160001,1.4
1170001,1.6
1180001,1.5
1190001,1.5
1200001,1.4
120001,0.9
1210001,1.5
1220001,1.5
1230001,1.5
1240001,1.5
1250001,1.5
1260001,1.4
1270001,1.4
1280001,1.5
1290001,1.5
1300001,1.4
130001,0.9
1310001,1.4
1320001,1.5
1330001,1.5
1340001,1.5
1350001,1.4
1360001,1.6
1370001,1.6
1380001,1.5
1390001,1.6
1400001,1.7
140001,1.0
1410001,1.6
1420001,1.7
1430001,1.4
1440001,1.7
1450001,1.5
1460001,1.6
1470001,1.8
1480001,1.6
1490001,1.5
1500001,1.5
150001,0.9
1510001,1.5
1520001,1.7
1530001,1.7
1540001,1.4
1550001,1.6
1560001,1.6
1570001,1.7
1580001,1.6
1590001,1.5
1600001,1.6
160001,1.1
1610001,1.7
1620001,1.6
1630001,1.7
1640001,1.6
1650001,1.5
1660001,1.4
1670001,1.8
1680001,1.7
1690001,1.6
1700001,1.5
170001,1.0
1710001,1.5
1720001,1.6
1730001,1.6
1740001,1.6
1750001,1.6
1760001,1.5
1770001,1.7
1780001,1.7
1790001,1.8
1800001,1.7
180001,1.2
1810001,1.8
1820001,1.6
1830001,1.6
1840001,1.7
1850001,1.7
1860001,1.7
1870001,1.8
1880001,1.8
1890001,1.7
1900001,1.7
190001,1.2
1910001,1.8
1920001,1.7
1930001,1.7
1940001,1.8
1950001,1.8
1960001,1.7
1970001,1.6
1980001,1.8
1990001,1.7
1,0.9
200001,1.1
20001,0.9
210001,1.2
220001,1.3
230001,1.1
240001,1.0
250001,1.0
260001,1.1
270001,1.0
280001,1.0
290001,0.9
300001,0.9
30001,1.0
310001,1.1
320001,1.1
330001,1.1
340001,1.1
350001,1.2
360001,1.2
370001,1.2
380001,1.2
390001,1.1
400001,1.3
40001,1.0
410001,1.1
420001,1.3
430001,1.3
440001,1.3
450001,1.2
460001,1.3
470001,1.0
480001,1.2
490001,1.1
500001,1.2
50001,1.0
510001,1.1
520001,1.3
530001,1.4
540001,1.3
550001,1.0
560001,1.3
570001,1.2
580001,1.1
590001,1.5
600001,1.3
60001,1.1
610001,1.2
620001,1.3
630001,1.3
640001,1.4
650001,1.3
660001,1.5
670001,1.2
680001,1.1
690001,1.4
700001,1.1
70001,1.0
710001,1.4
720001,1.2
730001,1.2
740001,1.4
750001,1.2
760001,1.2
770001,1.2
780001,1.3
790001,1.2
800001,1.1
80001,0.9
810001,1.1
820001,1.3
830001,1.4
840001,1.3
850001,1.5
860001,1.3
870001,1.3
880001,1.3
890001,1.2
900001,1.5
90001,0.9
910001,1.3
920001,1.3
930001,1.4
940001,1.2
950001,1.4
960001,1.2
970001,1.3
980001,1.3
990001,1.2
