input_size_bytes,time_ms
1000001,1.4
100001,1.0
10001,1.0
1010001,1.2
1020001,1.4
1030001,1.3
1040001,1.3
1050001,1.1
1060001,1.2
1070001,1.2
1080001,1.0
1090001,1.2
1100001,1.2
110001,0.9
1110001,1.3
1120001,1.2
1130001,1.1
1140001,1.2
1150001,1.3
1160001,1.3
1170001,1.1
1180001,1.2
1190001,1.2
1200001,1.3
120001,1.0
1210001,1.2
1220001,1.2
1230001,1.2
1240001,1.3
1250001,1.2
1260001,1.3
1270001,1.1
1280001,1.1
1290001,1.1
1300001,1.1
130001,0.9
1310001,1.1
1320001,1.2
1330001,1.3
1340001,1.1
1350001,1.2
1360001,1.4
1370001,1.4
1380001,1.5
1390001,1.2
1400001,1.2
140001,1.0
1410001,1.2
1420001,1.3
1430001,1.2
1440001,1.4
1450001,1.2
1460001,1.3
1470001,1.3
1480001,1.2
1490001,1.3
1500001,1.3
150001,1.1
1510001,1.3
1520001,1.3
1530001,1.2
1540001,1.3
1550001,1.4
1560001,1.3
1570001,1.3
1580001,1.2
1590001,1.3
1600001,1.3
160001,1.0
1610001,1.2
1620001,1.2
1630001,1.3
1640001,1.2
1650001,1.5
1660001,1.4
1670001,1.4
1680001,1.6
1690001,1.4
1700001,1.5
170001,1.1
1710001,1.5
1720001,1.5
1730001,1.6
1740001,1.4
1750001,1.7
1760001,1.6
1770001,1.8
1780001,1.5
1790001,1.5
1800001,1.5
180001,1.0
1810001,1.5
1820001,1.5
1830001,1.3
1840001,1.5
1850001,1.6
1860001,1.5
1870001,1.7
1880001,1.4
1890001,1.3
1900001,1.5
190001,1.0
1910001,1.5
1920001,1.4
1930001,1.6
1940001,1.7
1950001,1.7
1960001,1.5
1970001,1.6
1980001,1.6
1990001,1.5
1,0.9
200001,1.1
20001,1.0
210001,0.8
220001,0.9
230001,1.0
240001,1.2
250001,1.2
260001,1.0
270001,1.0
280001,1.0
290001,1.0
300001,1.1
30001,0.9
310001,1.0
320001,1.1
330001,1.1
340001,1.0
350001,1.0
360001,1.0
370001,1.1
380001,1.0
390001,1.2
400001,1.1
40001,1.1
410001,0.9
420001,0.9
430001,1.1
440001,1.0
450001,1.0
460001,1.0
470001,1.1
480001,1.0
490001,1.0
500001,1.0
50001,1.0
510001,1.0
520001,1.1
530001,1.1
540001,1.1
550001,1.2
560001,1.1
570001,1.0
580001,1.0
590001,1.1
600001,1.2
60001,1.0
610001,1.2
620001,1.2
630001,1.1
640001,1.2
650001,1.2
660001,1.1
670001,1.1
680001,1.1
690001,1.1
700001,1.2
70001,1.0
710001,1.1
720001,1.3
730001,1.1
740001,1.2
750001,1.1
760001,1.1
770001,1.1
780001,1.2
790001,1.1
800001,1.1
80001,0.9
810001,1.1
820001,1.2
830001,1.2
840001,1.2
850001,1.2
860001,1.1
870001,1.1
880001,1.1
890001,1.2
900001,1.2
90001,1.0
910001,1.2
920001,1.3
930001,1.3
940001,1.2
950001,1.2
960001,1.2
970001,1.3
980001,1.3
990001,1.3
